Comment,Designator,Footprint,Qty,LCSC Part #
100R,"R20,R24,R28",R_0603,3,
100k,"R12,R21,R25,R29,R40,R41,R45,R46,R47,R49",R_0603,10,
100nF,"C10,C11,C12,C13,C14,C15,C16,C17,C20,C3,C40,C41,C42,C70,C74,C75,C76,C77,C78,C79,C80",C_0603,21,
10k,"R1,R11,R44,R60,R9",R_0603,5,
10m,R7,R_2512_Shunt,1,
10uH,"L1,L2",L_4x4mm,2,
12MHz,"X1,X2",Crystal_3225_4Pin,2,
12V NiCd,J6,XT30_Male_Vertical,1,
18k,"R13,R42,R48,R50",R_0603,4,
18pF,"C1,C2,C71,C72",C_0603,4,
1M,R6,R_0603,1,
1k,"R22,R26,R30,R43",R_0603,4,
1uF,"C50,C73",C_0603,2,
20m,"RS1,RS2,RS3",R_2512_Shunt,3,
2ND IGN,J11,TerminalBlock_2P_5.08mm,1,
4.7k,"R4,R5,R61,R62",R_0603,4,
45.3k,R8,R_0603,1,
470uF,"C30,C31,C32",CP_Radial_D6.3mm_P2.50mm,3,
5.1k,"R2,R3",R_0603,2,
73.2k,R10,R_0603,1,
AO3400A,"Q1,Q2,Q3,Q4,Q5,Q6",SOT-23,6,
BMP280,"U12,U5",BME280_LGA-8_2.5x2.5mm,2,
BNO055,U13,BNO055_LGA-28_3.8x5.2mm,1,
BNO055,J4,PinHeader_1x10_P2.54mm,1,
DEPLOY SWD,J16,PinHeader_1x05_P2.54mm,1,
DROGUE PYRO,J14,TerminalBlock_2P_5.08mm,1,
ICM-42688-P,U4,ICM-42688-P_LGA-14_2.5x3mm,1,
INA219,U7,SOT-23-8,1,
LIS3MDL,U6,LIS3MDL_LGA-12_2x2mm,1,
MAIN PYRO,J15,TerminalBlock_2P_5.08mm,1,
REED,J12,PinHeader_1x02_P2.54mm,1,
RP2040,U10,QFN-56-1EP_7x7mm_P0.4mm,1,
RP2350B,U1,QFN-80-1EP_10x10mm_P0.4mm,1,
SOL1,J7,TerminalBlock_2P_5.08mm,1,
SOL2,J8,TerminalBlock_2P_5.08mm,1,
SOL3,J9,TerminalBlock_2P_5.08mm,1,
SS34,"D1,D2,D3",D_SMA,3,
STAT,LED1,LED_0603,1,
SWD,J1,PinHeader_1x05_P2.54mm,1,
TPS54202_3V3,U8,SOT-23-6,1,
TPS54202_5V,U9,SOT-23-6,1,
USB-C,J2,USB-C_Receptacle_2.0,1,
VIBE,J5,TerminalBlock_2P_5.08mm,1,
W25Q32JV,"U11,U2",SOIC-8_3.9x4.9mm_P1.27mm,2,
microSD,J3,microSD_Push_Molex,1,
