Designator,Mid X,Mid Y,Layer,Rotation
U13,112.000mm,108.000mm,Top,0
U10,114.603mm,100.826mm,Top,0
U11,127.344mm,113.556mm,Top,0
U12,123.106mm,121.858mm,Top,0
X2,120.433mm,129.093mm,Top,0
C71,115.796mm,122.818mm,Top,0
C72,123.204mm,125.511mm,Top,0
R60,111.440mm,114.336mm,Top,0
C73,110.139mm,111.644mm,Top,0
R61,129.220mm,120.873mm,Top,0
R62,127.507mm,123.540mm,Top,0
C74,112.177mm,108.955mm,Top,0
C75,116.695mm,114.782mm,Top,0
C76,116.350mm,108.063mm,Top,0
C77,125.014mm,118.201mm,Top,0
C78,127.214mm,99.494mm,Top,0
C79,130.000mm,118.210mm,Top,0
C80,108.072mm,117.066mm,Top,0
C70,102.998mm,105.266mm,Top,0
U1,100.000mm,98.920mm,Top,0
U4,100.000mm,89.695mm,Top,0
U5,106.500mm,90.012mm,Top,0
U6,93.500mm,90.370mm,Top,0
U2,105.092mm,97.332mm,Top,0
X1,100.000mm,107.725mm,Top,0
U7,98.712mm,106.733mm,Top,0
U8,86.159mm,106.000mm,Top,0
L1,86.500mm,103.000mm,Top,90
U9,107.297mm,103.754mm,Top,0
L2,118.500mm,108.000mm,Top,90
R7,97.263mm,117.310mm,Top,0
LED1,94.234mm,86.985mm,Top,0
J1,97.815mm,83.799mm,Top,0
J6,101.136mm,126.000mm,Top,0
J2,75.184mm,119.092mm,Top,45
J3,76.000mm,101.637mm,Top,90
J15,73.933mm,82.899mm,Top,45
Q6,85.571mm,96.548mm,Top,45
J16,113.059mm,75.711mm,Top,0
J4,121.612mm,87.493mm,Top,90
J14,113.017mm,129.885mm,Top,90
Q5,112.392mm,118.083mm,Top,0
J11,128.589mm,105.550mm,Top,0
Q4,120.673mm,108.335mm,Top,0
J7,88.527mm,129.342mm,Top,160
Q1,92.476mm,120.456mm,Top,160
D1,88.948mm,123.669mm,Top,160
RS1,93.844mm,113.744mm,Top,160
R20,90.617mm,119.108mm,Top,0
R21,95.190mm,123.959mm,Top,0
R22,92.790mm,113.352mm,Top,0
C40,96.974mm,113.357mm,Top,0
J8,88.184mm,71.170mm,Top,40
Q2,85.734mm,81.227mm,Top,40
D2,85.305mm,77.736mm,Top,40
RS2,85.921mm,88.895mm,Top,40
R24,88.017mm,82.986mm,Top,0
R25,83.808mm,84.444mm,Top,0
R26,91.183mm,88.370mm,Top,0
C41,90.383mm,91.032mm,Top,0
J9,127.972mm,94.349mm,Top,280
Q3,118.387mm,96.180mm,Top,280
D3,130.464mm,94.084mm,Top,280
RS3,112.486mm,96.874mm,Top,280
R28,125.638mm,96.779mm,Top,0
R29,125.642mm,93.907mm,Top,0
R30,115.004mm,94.369mm,Top,0
C42,115.469mm,91.687mm,Top,0
C30,104.300mm,128.265mm,Top,0
C31,71.441mm,94.964mm,Top,0
C32,115.692mm,77.785mm,Top,0
C10,98.573mm,95.000mm,Top,0
C11,104.062mm,92.679mm,Top,0
C12,94.391mm,95.000mm,Top,0
C13,94.638mm,102.762mm,Top,0
C14,98.817mm,102.746mm,Top,0
C15,90.459mm,103.000mm,Top,0
C16,102.990mm,102.002mm,Top,0
C17,92.000mm,99.000mm,Top,0
C20,111.302mm,91.702mm,Top,0
C3,88.000mm,95.000mm,Top,0
C1,97.565mm,110.679mm,Top,0
C2,101.757mm,111.000mm,Top,0
C50,105.932mm,111.662mm,Top,0
R1,107.961mm,107.693mm,Top,0
R8,89.199mm,110.000mm,Top,0
R9,93.369mm,110.000mm,Top,0
R10,116.356mm,110.745mm,Top,0
R11,120.542mm,112.093mm,Top,0
R12,104.621mm,114.349mm,Top,0
R13,103.880mm,117.043mm,Top,0
R4,108.890mm,89.008mm,Top,0
R5,113.110mm,88.984mm,Top,0
R40,116.000mm,83.628mm,Top,0
R41,117.612mm,86.321mm,Top,0
R42,117.596mm,89.013mm,Top,0
R43,90.000mm,85.704mm,Top,0
R44,86.197mm,90.000mm,Top,0
R2,81.840mm,108.000mm,Top,0
R3,84.000mm,111.000mm,Top,0
R6,118.258mm,120.128mm,Top,0
R45,104.373mm,122.416mm,Top,0
R46,107.256mm,119.748mm,Top,0
R47,111.442mm,121.876mm,Top,0
R48,116.675mm,117.460mm,Top,0
R49,120.854mm,117.446mm,Top,0
R50,96.000mm,121.248mm,Top,0
J12,96.021mm,80.044mm,Top,0
J5,112.706mm,124.793mm,Top,0
