t,phase,h,v,mach,q,drag,thrust,weight,mass,accel,accel_g,TW,T,T_C,p,p_kPa,rho,a_snd,mu,nu,sigma,delta,Re_body,Re_fin
0,boost,0.0,0.0,0.0,0.0,0.0,79.9,13.160524,1.342,49.731353,5.071187,6.071187,288.15,15.0,101325.0,101.325,1.225,340.293988,1.8e-05,1.5e-05,1.0,1.0,0.0,0.0
0.0502,boost,0.062946,2.498578,0.007342,3.823748,0.011655,79.9,13.139531,1.339859,49.817777,5.08,6.080887,288.149591,14.999591,101324.243823,101.324244,1.224993,340.293746,1.8e-05,1.5e-05,0.999994,0.999993,14368.237529,12828.783508
0.1,boost,0.249424,4.981112,0.014638,15.196664,0.046319,79.9,13.118706,1.337736,49.886517,5.087009,6.09054,288.148379,14.998379,101322.003665,101.322004,1.224971,340.293031,1.8e-05,1.5e-05,0.999976,0.99997,28643.792663,25574.814877
0.15,boost,0.561107,7.476633,0.021971,34.236931,0.104353,79.9,13.097797,1.335604,49.938359,5.092295,6.100263,288.146353,14.996353,101318.259525,101.31826,1.224934,340.291834,1.8e-05,1.5e-05,0.999946,0.999933,42993.19023,38386.776991
0.2,boost,0.997623,9.974315,0.029311,60.929932,0.185713,79.9,13.076888,1.333471,49.972874,5.095815,6.110017,288.143515,14.993515,101313.015985,101.313016,1.224883,340.290159,1.8e-05,1.5e-05,0.999904,0.999882,57353.75113,51208.706366
0.25,boost,1.559059,12.47329,0.036655,95.280307,0.290412,79.9,13.055978,1.331339,49.989969,5.097558,6.119802,288.139866,14.989866,101306.272197,101.306272,1.224817,340.288004,1.8e-05,1.5e-05,0.99985,0.999815,71720.056797,64035.764998
0.3002,boost,2.248455,14.982682,0.04403,137.464793,0.418989,79.9,13.034986,1.329199,49.989539,5.097514,6.129658,288.135385,14.985385,101297.991901,101.297992,1.224736,340.285358,1.8e-05,1.5e-05,0.999784,0.999733,86144.125651,76914.397903
0.3502,boost,3.060316,17.481618,0.051374,187.129274,0.570365,79.9,13.014076,1.327066,49.971543,5.095679,6.139506,288.130108,14.980108,101288.241388,101.288241,1.22464,340.282242,1.8e-05,1.5e-05,0.999706,0.999637,100505.550726,89737.098862
0.4002,boost,3.997095,19.979217,0.058714,244.397283,0.744916,79.9,12.993167,1.324934,49.935997,5.092055,6.149386,288.124019,14.974019,101276.991561,101.276992,1.22453,340.278646,1.8e-05,1.5e-05,0.999616,0.999526,114856.339135,102550.302799
0.4502,boost,5.058701,22.474604,0.066048,309.22832,0.94252,79.9,12.972258,1.322802,49.88291,5.086641,6.159298,288.117118,14.967118,101264.243892,101.264244,1.224405,340.274572,1.8e-05,1.5e-05,0.999514,0.9994,129191.030397,115349.134283
