z_m,h_geopot_m,T_K,T_C,p_Pa,p_kPa,p_atm,rho_kgm3,a_ms,mu_Pas,nu_m2s,sigma,delta,theta
0,0.0,288.15,15.0,101325.0,101.325,1.0,1.225,340.293988,1.8e-05,1.5e-05,1.0,1.0,1.0
25,25.0,287.987501,14.837501,101025.032702,101.025033,0.99704,1.222063,340.198022,1.8e-05,1.5e-05,0.997602,0.99704,0.999436
50,50.0,287.825003,14.675003,100725.787237,100.725787,0.994086,1.219131,340.102029,1.8e-05,1.5e-05,0.995209,0.994086,0.998872
75,75.0,287.662506,14.512506,100427.262267,100.427262,0.99114,1.216204,340.00601,1.8e-05,1.5e-05,0.99282,0.99114,0.998308
100,100.0,287.50001,14.35001,100129.456456,100.129456,0.988201,1.213283,339.909965,1.8e-05,1.5e-05,0.990435,0.988201,0.997744
125,125.0,287.337516,14.187516,99832.368469,99.832368,0.985269,1.210367,339.813893,1.8e-05,1.5e-05,0.988055,0.985269,0.99718
150,150.0,287.175023,14.025023,99535.996974,99.535997,0.982344,1.207457,339.717795,1.8e-05,1.5e-05,0.985679,0.982344,0.996616
175,175.0,287.012531,13.862531,99240.340639,99.240341,0.979426,1.204552,339.621671,1.8e-05,1.5e-05,0.983308,0.979426,0.996053
200,200.0,286.850041,13.700041,98945.398136,98.945398,0.976515,1.201652,339.52552,1.8e-05,1.5e-05,0.980941,0.976515,0.995489
225,225.0,286.687552,13.537552,98651.168137,98.651168,0.973611,1.198758,339.429342,1.8e-05,1.5e-05,0.978578,0.973611,0.994925
250,250.0,286.525064,13.375064,98357.649317,98.357649,0.970715,1.195869,339.333138,1.8e-05,1.5e-05,0.97622,0.970715,0.994361
275,275.0,286.362577,13.212577,98064.84035,98.06484,0.967825,1.192986,339.236908,1.8e-05,1.5e-05,0.973866,0.967825,0.993797
300,300.0,286.200092,13.050092,97772.739916,97.77274,0.964942,1.190107,339.140651,1.8e-05,1.5e-05,0.971516,0.964942,0.993233
325,325.0,286.037608,12.887608,97481.346693,97.481347,0.962066,1.187234,339.044367,1.8e-05,1.5e-05,0.969171,0.962066,0.992669
350,350.0,285.875125,12.725125,97190.659363,97.190659,0.959197,1.184367,338.948057,1.8e-05,1.5e-05,0.96683,0.959197,0.992105
375,375.0,285.712644,12.562644,96900.676608,96.900677,0.956335,1.181505,338.85172,1.8e-05,1.5e-05,0.964494,0.956335,0.991541
400,400.0,285.550164,12.400164,96611.397114,96.611397,0.95348,1.178648,338.755357,1.8e-05,1.5e-05,0.962161,0.95348,0.990977
425,425.0,285.387685,12.237685,96322.819566,96.32282,0.950632,1.175796,338.658966,1.8e-05,1.5e-05,0.959834,0.950632,0.990414
450,450.0,285.225207,12.075207,96034.942653,96.034943,0.947791,1.17295,338.56255,1.8e-05,1.5e-05,0.95751,0.947791,0.98985
475,475.0,285.062731,11.912731,95747.765064,95.747765,0.944957,1.170109,338.466106,1.8e-05,1.5e-05,0.955191,0.944957,0.989286
500,500.0,284.900256,11.750256,95461.285491,95.461285,0.94213,1.167273,338.369636,1.8e-05,1.5e-05,0.952876,0.94213,0.988722
525,525.0,284.737782,11.587782,95175.502628,95.175503,0.939309,1.164443,338.273139,1.8e-05,1.5e-05,0.950566,0.939309,0.988158
550,550.0,284.575309,11.425309,94890.41517,94.890415,0.936496,1.161618,338.176615,1.8e-05,1.5e-05,0.948259,0.936496,0.987594
575,574.9,284.412838,11.262838,94606.021812,94.606022,0.933689,1.158798,338.080064,1.8e-05,1.5e-05,0.945957,0.933689,0.98703
600,599.9,284.250368,11.100368,94322.321253,94.322321,0.930889,1.155983,337.983487,1.8e-05,1.5e-05,0.94366,0.930889,0.986467
625,624.9,284.087899,10.937899,94039.312195,94.039312,0.928096,1.153174,337.886883,1.8e-05,1.5e-05,0.941366,0.928096,0.985903
650,649.9,283.925432,10.775432,93756.993338,93.756993,0.92531,1.15037,337.790252,1.8e-05,1.5e-05,0.939077,0.92531,0.985339
675,674.9,283.762966,10.612966,93475.363385,93.475363,0.92253,1.147571,337.693594,1.8e-05,1.5e-05,0.936793,0.92253,0.984775
700,699.9,283.600501,10.450501,93194.421044,93.194421,0.919757,1.144777,337.596909,1.8e-05,1.5e-05,0.934512,0.919757,0.984211
725,724.9,283.438037,10.288037,92914.165019,92.914165,0.916992,1.141989,337.500197,1.8e-05,1.5e-05,0.932236,0.916992,0.983648
750,749.9,283.275575,10.125575,92634.594021,92.634594,0.914232,1.139206,337.403458,1.8e-05,1.5e-05,0.929964,0.914232,0.983084
775,774.9,283.113114,9.963114,92355.706759,92.355707,0.91148,1.136428,337.306692,1.8e-05,1.6e-05,0.927696,0.91148,0.98252
800,799.9,282.950654,9.800654,92077.501945,92.077502,0.908734,1.133655,337.2099,1.8e-05,1.6e-05,0.925433,0.908734,0.981956
825,824.9,282.788196,9.638196,91799.978294,91.799978,0.905995,1.130888,337.11308,1.8e-05,1.6e-05,0.923173,0.905995,0.981392
850,849.9,282.625739,9.475739,91523.134521,91.523135,0.903263,1.128125,337.016233,1.8e-05,1.6e-05,0.920918,0.903263,0.980829
875,874.9,282.463283,9.313283,91246.969343,91.246969,0.900538,1.125368,336.919359,1.8e-05,1.6e-05,0.918668,0.900538,0.980265
900,899.9,282.300828,9.150828,90971.481479,90.971481,0.897819,1.122616,336.822458,1.8e-05,1.6e-05,0.916421,0.897819,0.979701
925,924.9,282.138375,8.988375,90696.66965,90.69667,0.895107,1.119869,336.72553,1.8e-05,1.6e-05,0.914179,0.895107,0.979137
950,949.9,281.975923,8.825923,90422.532578,90.422533,0.892401,1.117128,336.628574,1.8e-05,1.6e-05,0.911941,0.892401,0.978573
975,974.9,281.813472,8.663472,90149.068987,90.149069,0.889702,1.114391,336.531592,1.8e-05,1.6e-05,0.909707,0.889702,0.97801
1000,999.8,281.651022,8.501022,89876.277602,89.876278,0.88701,1.11166,336.434582,1.8e-05,1.6e-05,0.907477,0.88701,0.977446
1025,1024.8,281.488574,8.338574,89604.157152,89.604157,0.884324,1.108933,336.337545,1.8e-05,1.6e-05,0.905252,0.884324,0.976882
1050,1049.8,281.326127,8.176127,89332.706365,89.332706,0.881645,1.106212,336.240481,1.8e-05,1.6e-05,0.903031,0.881645,0.976318
1075,1074.8,281.163681,8.013681,89061.923973,89.061924,0.878973,1.103496,336.14339,1.8e-05,1.6e-05,0.900813,0.878973,0.975755
1100,1099.8,281.001237,7.851237,88791.808707,88.791809,0.876307,1.100786,336.046271,1.8e-05,1.6e-05,0.898601,0.876307,0.975191
1125,1124.8,280.838794,7.688794,88522.359302,88.522359,0.873648,1.09808,335.949125,1.8e-05,1.6e-05,0.896392,0.873648,0.974627
1150,1149.8,280.676352,7.526352,88253.574493,88.253574,0.870995,1.095379,335.851952,1.8e-05,1.6e-05,0.894187,0.870995,0.974063
1175,1174.8,280.513911,7.363911,87985.453019,87.985453,0.868349,1.092684,335.754751,1.8e-05,1.6e-05,0.891987,0.868349,0.9735
1200,1199.8,280.351472,7.201472,87717.993618,87.717994,0.865709,1.089994,335.657523,1.8e-05,1.6e-05,0.889791,0.865709,0.972936
1225,1224.8,280.189034,7.039034,87451.195032,87.451195,0.863076,1.087308,335.560267,1.8e-05,1.6e-05,0.887599,0.863076,0.972372
1250,1249.8,280.026597,6.876597,87185.056003,87.185056,0.86045,1.084628,335.462984,1.7e-05,1.6e-05,0.885411,0.86045,0.971808
1275,1274.7,279.864162,6.714162,86919.575275,86.919575,0.85783,1.081953,335.365674,1.7e-05,1.6e-05,0.883227,0.85783,0.971245
1300,1299.7,279.701728,6.551728,86654.751595,86.654752,0.855216,1.079283,335.268336,1.7e-05,1.6e-05,0.881047,0.855216,0.970681
1325,1324.7,279.539295,6.389295,86390.58371,86.390584,0.852609,1.076618,335.170971,1.7e-05,1.6e-05,0.878872,0.852609,0.970117
1350,1349.7,279.376863,6.226863,86127.070369,86.12707,0.850008,1.073958,335.073578,1.7e-05,1.6e-05,0.876701,0.850008,0.969554
1375,1374.7,279.214433,6.064433,85864.210323,85.86421,0.847414,1.071303,334.976157,1.7e-05,1.6e-05,0.874533,0.847414,0.96899
1400,1399.7,279.052004,5.902004,85602.002325,85.602002,0.844826,1.068653,334.878709,1.7e-05,1.6e-05,0.87237,0.844826,0.968426
1425,1424.7,278.889576,5.739576,85340.44513,85.340445,0.842245,1.066009,334.781234,1.7e-05,1.6e-05,0.870211,0.842245,0.967862
1450,1449.7,278.727149,5.577149,85079.537493,85.079537,0.83967,1.063369,334.68373,1.7e-05,1.6e-05,0.868056,0.83967,0.967299
1475,1474.7,278.564724,5.414724,84819.278173,84.819278,0.837101,1.060734,334.5862,1.7e-05,1.6e-05,0.865905,0.837101,0.966735
1500,1499.6,278.4023,5.2523,84559.665928,84.559666,0.834539,1.058104,334.488641,1.7e-05,1.6e-05,0.863759,0.834539,0.966171
1525,1524.6,278.239877,5.089877,84300.699519,84.3007,0.831983,1.05548,334.391055,1.7e-05,1.6e-05,0.861616,0.831983,0.965608
1550,1549.6,278.077456,4.927456,84042.37771,84.042378,0.829434,1.05286,334.293441,1.7e-05,1.7e-05,0.859478,0.829434,0.965044
1575,1574.6,277.915036,4.765036,83784.699265,83.784699,0.826891,1.050245,334.195799,1.7e-05,1.7e-05,0.857343,0.826891,0.96448
1600,1599.6,277.752617,4.602617,83527.662949,83.527663,0.824354,1.047636,334.09813,1.7e-05,1.7e-05,0.855213,0.824354,0.963917
1625,1624.6,277.590199,4.440199,83271.267531,83.271268,0.821824,1.045031,334.000432,1.7e-05,1.7e-05,0.853086,0.821824,0.963353
1650,1649.6,277.427783,4.277783,83015.511779,83.015512,0.819299,1.042431,333.902707,1.7e-05,1.7e-05,0.850964,0.819299,0.962789
1675,1674.6,277.265368,4.115368,82760.394466,82.760394,0.816782,1.039836,333.804954,1.7e-05,1.7e-05,0.848846,0.816782,0.962226
1700,1699.5,277.102954,3.952954,82505.914363,82.505914,0.81427,1.037247,333.707174,1.7e-05,1.7e-05,0.846732,0.81427,0.961662
1725,1724.5,276.940542,3.790542,82252.070245,82.25207,0.811765,1.034662,333.609365,1.7e-05,1.7e-05,0.844622,0.811765,0.961099
1750,1749.5,276.778131,3.628131,81998.860887,81.998861,0.809266,1.032082,333.511528,1.7e-05,1.7e-05,0.842516,0.809266,0.960535
1775,1774.5,276.615721,3.465721,81746.285069,81.746285,0.806773,1.029507,333.413664,1.7e-05,1.7e-05,0.840414,0.806773,0.959971
1800,1799.5,276.453312,3.303312,81494.341568,81.494342,0.804287,1.026937,333.315771,1.7e-05,1.7e-05,0.838316,0.804287,0.959408
1825,1824.5,276.290905,3.140905,81243.029166,81.243029,0.801806,1.024372,333.217851,1.7e-05,1.7e-05,0.836222,0.801806,0.958844
1850,1849.5,276.128499,2.978499,80992.346646,80.992347,0.799332,1.021812,333.119902,1.7e-05,1.7e-05,0.834132,0.799332,0.95828
1875,1874.4,275.966094,2.816094,80742.292791,80.742293,0.796864,1.019256,333.021926,1.7e-05,1.7e-05,0.832046,0.796864,0.957717
1900,1899.4,275.80369,2.65369,80492.866388,80.492866,0.794403,1.016706,332.923921,1.7e-05,1.7e-05,0.829964,0.794403,0.957153
1925,1924.4,275.641288,2.491288,80244.066224,80.244066,0.791947,1.014161,332.825888,1.7e-05,1.7e-05,0.827886,0.791947,0.95659
1950,1949.4,275.478887,2.328887,79995.891089,79.995891,0.789498,1.01162,332.727827,1.7e-05,1.7e-05,0.825812,0.789498,0.956026
1975,1974.4,275.316487,2.166487,79748.339773,79.74834,0.787055,1.009085,332.629739,1.7e-05,1.7e-05,0.823742,0.787055,0.955462
2000,1999.4,275.154089,2.004089,79501.411068,79.501411,0.784618,1.006554,332.531621,1.7e-05,1.7e-05,0.821677,0.784618,0.954899
2250,2249.2,273.530175,0.380175,77066.103202,77.066103,0.760583,0.981513,331.548896,1.7e-05,1.8e-05,0.801235,0.760583,0.949263
2500,2499.0,271.906388,-1.243612,74691.740434,74.69174,0.73715,0.956954,330.563326,1.7e-05,1.8e-05,0.781187,0.73715,0.943628
2750,2748.8,270.28273,-2.86727,72377.142194,72.377142,0.714307,0.93287,329.574888,1.7e-05,1.8e-05,0.761527,0.714307,0.937993
3000,2998.6,268.659198,-4.490802,70121.144068,70.121144,0.692042,0.909254,328.583553,1.7e-05,1.9e-05,0.742248,0.692042,0.932359
3250,3248.3,267.035795,-6.114205,67922.597665,67.922598,0.670344,0.8861,327.589298,1.7e-05,1.9e-05,0.723347,0.670344,0.926725
