profile,alpha_deg,tc,Cl_panel,Cl_thin,Cd_tunnel,Cd_flight,LD_tunnel,LD_flight
NACA0006,0.0,0.06,-0.0,0.0,0.00666,0.00511,-0.0,-0.0
NACA0006,0.5,0.06,0.0574,0.0548,0.00666,0.00511,8.62,11.24
NACA0006,1.0,0.06,0.1148,0.1097,0.00666,0.00511,17.24,22.48
NACA0006,1.5,0.06,0.1722,0.1645,0.00666,0.00511,25.86,33.72
NACA0006,2.0,0.06,0.2295,0.2193,0.00666,0.00511,34.48,44.96
NACA0006,2.5,0.06,0.2869,0.2742,0.00666,0.00511,43.1,56.19
NACA0006,3.0,0.06,0.3442,0.329,0.00666,0.00511,51.71,67.42
NACA0006,3.5,0.06,0.4015,0.3838,0.00666,0.00511,60.32,78.64
NACA0006,4.0,0.06,0.4588,0.4386,0.00666,0.00511,68.92,89.86
NACA0006,4.5,0.06,0.516,0.4935,0.00666,0.00511,77.52,101.07
NACA0006,5.0,0.06,0.5732,0.5483,0.00666,0.00511,86.11,112.28
NACA0006,5.5,0.06,0.6303,0.6031,0.00666,0.00511,94.7,123.47
NACA0006,6.0,0.06,0.6874,0.658,0.00666,0.00511,103.28,134.66
NACA0006,6.5,0.06,0.7445,0.7128,0.00666,0.00511,111.85,145.83
NACA0006,7.0,0.06,0.8015,0.7676,0.00666,0.00511,120.41,156.99
NACA0006,7.5,0.06,0.8584,0.8225,0.00666,0.00511,128.96,168.15
NACA0006,8.0,0.06,0.9153,0.8773,0.00666,0.00511,137.51,179.29
NACA0006,8.5,0.06,0.9721,0.9321,0.00666,0.00511,146.04,190.41
NACA0006,9.0,0.06,1.0288,0.987,0.00666,0.00511,154.56,201.52
NACA0006,9.5,0.06,1.0854,1.0418,0.00666,0.00511,163.07,212.62
NACA0006,10.0,0.06,1.142,1.0966,0.00666,0.00511,171.57,223.7
NACA0006,10.5,0.06,1.1985,1.1515,0.00666,0.00511,180.05,234.76
NACA0006,11.0,0.06,1.2549,1.2063,0.00666,0.00511,188.52,245.8
NACA0006,11.5,0.06,1.3112,1.2611,0.00666,0.00511,196.98,256.83
NACA0006,12.0,0.06,1.3673,1.3159,0.00666,0.00511,205.42,267.84
NACA0012,0.0,0.12,0.0,0.0,0.00744,0.0057,0.0,0.0
NACA0012,0.5,0.12,0.0602,0.0548,0.00744,0.0057,8.09,10.55
NACA0012,1.0,0.12,0.1204,0.1097,0.00744,0.0057,16.18,21.1
NACA0012,1.5,0.12,0.1806,0.1645,0.00744,0.0057,24.28,31.65
NACA0012,2.0,0.12,0.2407,0.2193,0.00744,0.0057,32.36,42.2
NACA0012,2.5,0.12,0.3009,0.2742,0.00744,0.0057,40.45,52.74
NACA0012,3.0,0.12,0.361,0.329,0.00744,0.0057,48.53,63.28
NACA0012,3.5,0.12,0.4211,0.3838,0.00744,0.0057,56.61,73.82
NACA0012,4.0,0.12,0.4812,0.4386,0.00744,0.0057,64.69,84.34
NACA0012,4.5,0.12,0.5412,0.4935,0.00744,0.0057,72.76,94.87
NACA0012,5.0,0.12,0.6012,0.5483,0.00744,0.0057,80.82,105.38
NACA0012,5.5,0.12,0.6611,0.6031,0.00744,0.0057,88.88,115.89
NACA0012,6.0,0.12,0.721,0.658,0.00744,0.0057,96.94,126.39
NACA0012,6.5,0.12,0.7809,0.7128,0.00744,0.0057,104.98,136.88
NACA0012,7.0,0.12,0.8406,0.7676,0.00744,0.0057,113.02,147.36
NACA0012,7.5,0.12,0.9004,0.8225,0.00744,0.0057,121.04,157.82
NACA0012,8.0,0.12,0.96,0.8773,0.00744,0.0057,129.06,168.28
NACA0012,8.5,0.12,1.0196,0.9321,0.00744,0.0057,137.07,178.72
