t_ms,t_flight_s,loop_dt_us,state,imu_fault,rbf_pulled,batt_low,batt_critical,qb_w,qb_x,qb_y,qb_z,qg_w,qg_x,qg_y,qg_z,vote_disagree_deg,body_pitch_deg,body_yaw_deg,defl_pitch_deg,defl_yaw_deg,setp_pitch_deg,err_pitch_deg,err_yaw_deg,pid_p_pitch_deg,pid_i_pitch_deg,pid_d_pitch_deg,pid_p_yaw_deg,pid_i_yaw_deg,pid_d_yaw_deg,cmd_pitch_deg,cmd_yaw_deg,baro_alt_m,baro_temp_c,accel_g,batt_v,dropped_frames_cum
0,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.110,15.0,1.0,7.90,0
2,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.360,15.0,1.0,7.89,0
4,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.180,15.0,1.0,7.90,0
6,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.400,15.0,1.0,7.90,0
8,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.020,15.0,1.0,7.90,0
10,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.540,15.0,1.0,7.91,0
12,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.200,15.0,1.0,7.90,0
14,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,-0.250,15.0,1.0,7.90,0
16,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.200,15.0,1.0,7.90,0
18,nan,2000,1,0,1,0,0,1,0,0,0,1,0,0,0,0.01,0.0000,0.0,0.0000,0.0,0.0,-0.0000,0.0,0,0,0,0,0,0,0.0000,0.0,0.140,15.0,1.0,7.90,0
